Device Name,Instance Name,Updated time (America/Los_Angeles),Packet Rate
csn501,network.interface.packets.in,07-Mar-2016 04:00:00 PM,559.27
csn501,network.interface.packets.in,07-Mar-2016 05:00:00 PM,564.02
csn501,network.interface.packets.in,07-Mar-2016 06:00:00 PM,580.97
csn501,network.interface.packets.in,07-Mar-2016 07:00:00 PM,565.64
csn501,network.interface.packets.in,07-Mar-2016 08:00:00 PM,549.09
csn501,network.interface.packets.in,07-Mar-2016 09:00:00 PM,557.55
csn501,network.interface.packets.in,07-Mar-2016 10:00:00 PM,551.05
csn501,network.interface.packets.in,07-Mar-2016 11:00:00 PM,559.31
csn501,network.interface.packets.in,08-Mar-2016 12:00:00 AM,544.03
csn501,network.interface.packets.in,08-Mar-2016 01:00:00 AM,548.12
csn501,network.interface.packets.in,08-Mar-2016 02:00:00 AM,539.14
csn501,network.interface.packets.in,08-Mar-2016 03:00:00 AM,567.67
csn501,network.interface.packets.in,08-Mar-2016 04:00:00 AM,575.05
csn501,network.interface.packets.in,08-Mar-2016 05:00:00 AM,534.09
csn501,network.interface.packets.in,08-Mar-2016 06:00:00 AM,553.92
csn501,network.interface.packets.in,08-Mar-2016 07:00:00 AM,549.7
csn501,network.interface.packets.in,08-Mar-2016 08:00:00 AM,550.44
csn501,network.interface.packets.in,08-Mar-2016 09:00:00 AM,566.32
csn501,network.interface.packets.in,08-Mar-2016 10:00:00 AM,556.87
csn501,network.interface.packets.in,08-Mar-2016 11:00:00 AM,556.41
csn501,network.interface.packets.in,08-Mar-2016 12:00:00 PM,589.25
csn501,network.interface.packets.in,08-Mar-2016 01:00:00 PM,566.07
csn501,network.interface.packets.in,08-Mar-2016 02:00:00 PM,545.85
csn501,network.interface.packets.in,08-Mar-2016 03:00:00 PM,553.96
csn501,network.interface.packets.in,08-Mar-2016 04:00:00 PM,542.25
csn501,network.interface.packets.in,08-Mar-2016 05:00:00 PM,553.72
csn501,network.interface.packets.in,08-Mar-2016 06:00:00 PM,576.54
csn501,network.interface.packets.in,08-Mar-2016 07:00:00 PM,540.38
csn501,network.interface.packets.in,08-Mar-2016 08:00:00 PM,535.11
csn501,network.interface.packets.in,08-Mar-2016 09:00:00 PM,579.54
csn501,network.interface.packets.in,08-Mar-2016 10:00:00 PM,522.34
csn501,network.interface.packets.in,08-Mar-2016 11:00:00 PM,567.57
csn501,network.interface.packets.in,09-Mar-2016 12:00:00 AM,517.56
csn501,network.interface.packets.in,09-Mar-2016 01:00:00 AM,574.65
csn501,network.interface.packets.in,09-Mar-2016 02:00:00 AM,565.0
csn501,network.interface.packets.in,09-Mar-2016 03:00:00 AM,554.94
csn501,network.interface.packets.in,09-Mar-2016 04:00:00 AM,580.5
csn501,network.interface.packets.in,09-Mar-2016 05:00:00 AM,546.88
csn501,network.interface.packets.in,09-Mar-2016 06:00:00 AM,543.3
csn501,network.interface.packets.in,09-Mar-2016 07:00:00 AM,555.31
csn501,network.interface.packets.in,09-Mar-2016 08:00:00 AM,551.34
csn501,network.interface.packets.in,09-Mar-2016 09:00:00 AM,625.9
csn501,network.interface.packets.in,09-Mar-2016 10:00:00 AM,619.22
csn501,network.interface.packets.in,09-Mar-2016 11:00:00 AM,586.94
csn501,network.interface.packets.in,09-Mar-2016 12:00:00 PM,572.66
csn501,network.interface.packets.in,09-Mar-2016 01:00:00 PM,625.99
csn501,network.interface.packets.in,09-Mar-2016 02:00:00 PM,619.44
csn501,network.interface.packets.in,09-Mar-2016 03:00:00 PM,632.73
csn501,network.interface.packets.in,09-Mar-2016 04:00:00 PM,590.38
csn501,network.interface.packets.in,09-Mar-2016 05:00:00 PM,647.69
csn501,network.interface.packets.in,09-Mar-2016 06:00:00 PM,585.61
csn501,network.interface.packets.in,09-Mar-2016 07:00:00 PM,553.82
csn501,network.interface.packets.in,09-Mar-2016 08:00:00 PM,541.15
csn501,network.interface.packets.in,09-Mar-2016 09:00:00 PM,553.66
csn501,network.interface.packets.in,09-Mar-2016 10:00:00 PM,550.03
csn501,network.interface.packets.in,09-Mar-2016 11:00:00 PM,536.34
csn501,network.interface.packets.in,10-Mar-2016 12:00:00 AM,585.8
csn501,network.interface.packets.in,10-Mar-2016 01:00:00 AM,555.51
csn501,network.interface.packets.in,10-Mar-2016 02:00:00 AM,535.26
csn501,network.interface.packets.in,10-Mar-2016 03:00:00 AM,548.03
csn501,network.interface.packets.in,10-Mar-2016 04:00:00 AM,604.81
csn501,network.interface.packets.in,10-Mar-2016 05:00:00 AM,549.31
csn501,network.interface.packets.in,10-Mar-2016 06:00:00 AM,562.93
csn501,network.interface.packets.in,10-Mar-2016 07:00:00 AM,565.36
csn501,network.interface.packets.in,10-Mar-2016 08:00:00 AM,560.63
csn501,network.interface.packets.in,10-Mar-2016 09:00:00 AM,592.97
csn501,network.interface.packets.in,10-Mar-2016 10:00:00 AM,588.97
csn501,network.interface.packets.in,10-Mar-2016 11:00:00 AM,566.29
csn501,network.interface.packets.in,10-Mar-2016 12:00:00 PM,560.72
csn501,network.interface.packets.in,10-Mar-2016 01:00:00 PM,569.24
csn501,network.interface.packets.in,10-Mar-2016 02:00:00 PM,550.81
csn501,network.interface.packets.in,10-Mar-2016 03:00:00 PM,573.73
csn501,network.interface.packets.in,10-Mar-2016 04:00:00 PM,561.9
csn501,network.interface.packets.in,10-Mar-2016 05:00:00 PM,598.43
csn501,network.interface.packets.in,10-Mar-2016 06:00:00 PM,586.56
csn501,network.interface.packets.in,10-Mar-2016 07:00:00 PM,566.94
csn501,network.interface.packets.in,10-Mar-2016 08:00:00 PM,551.49
csn501,network.interface.packets.in,10-Mar-2016 09:00:00 PM,550.31
csn501,network.interface.packets.in,10-Mar-2016 10:00:00 PM,550.62
csn501,network.interface.packets.in,10-Mar-2016 11:00:00 PM,555.12
csn501,network.interface.packets.in,11-Mar-2016 12:00:00 AM,541.69
csn501,network.interface.packets.in,11-Mar-2016 01:00:00 AM,556.32
csn501,network.interface.packets.in,11-Mar-2016 02:00:00 AM,565.58
csn501,network.interface.packets.in,11-Mar-2016 03:00:00 AM,540.55
csn501,network.interface.packets.in,11-Mar-2016 04:00:00 AM,571.57
csn501,network.interface.packets.in,11-Mar-2016 05:00:00 AM,533.07
csn501,network.interface.packets.in,11-Mar-2016 06:00:00 AM,551.54
csn501,network.interface.packets.in,11-Mar-2016 07:00:00 AM,556.41
csn501,network.interface.packets.in,11-Mar-2016 08:00:00 AM,559.0
csn501,network.interface.packets.in,11-Mar-2016 09:00:00 AM,550.54
csn501,network.interface.packets.in,11-Mar-2016 10:00:00 AM,545.14
csn501,network.interface.packets.in,11-Mar-2016 11:00:00 AM,556.39
csn501,network.interface.packets.in,11-Mar-2016 12:00:00 PM,555.13
csn501,network.interface.packets.in,11-Mar-2016 01:00:00 PM,561.91
csn501,network.interface.packets.in,11-Mar-2016 02:00:00 PM,535.84
csn501,network.interface.packets.in,11-Mar-2016 03:00:00 PM,552.42
csn501,network.interface.packets.in,11-Mar-2016 04:00:00 PM,537.36
csn501,network.interface.packets.in,11-Mar-2016 05:00:00 PM,551.5
csn501,network.interface.packets.in,11-Mar-2016 06:00:00 PM,654.8
csn501,network.interface.packets.in,11-Mar-2016 07:00:00 PM,558.93
csn501,network.interface.packets.in,11-Mar-2016 08:00:00 PM,533.62
csn501,network.interface.packets.in,11-Mar-2016 09:00:00 PM,549.55
csn501,network.interface.packets.in,11-Mar-2016 10:00:00 PM,545.51
csn501,network.interface.packets.in,11-Mar-2016 11:00:00 PM,533.62
csn501,network.interface.packets.in,12-Mar-2016 12:00:00 AM,544.42
csn501,network.interface.packets.in,12-Mar-2016 01:00:00 AM,114.4
csn501,network.interface.packets.in,12-Mar-2016 02:00:00 AM,1180.77
csn501,network.interface.packets.in,12-Mar-2016 03:00:00 AM,661.08
csn501,network.interface.packets.in,12-Mar-2016 04:00:00 AM,737.17
csn501,network.interface.packets.in,12-Mar-2016 05:00:00 AM,665.51
csn501,network.interface.packets.in,12-Mar-2016 06:00:00 AM,634.87
csn501,network.interface.packets.in,12-Mar-2016 07:00:00 AM,629.16
csn501,network.interface.packets.in,12-Mar-2016 08:00:00 AM,602.32
csn501,network.interface.packets.in,12-Mar-2016 09:00:00 AM,594.57
csn501,network.interface.packets.in,12-Mar-2016 10:00:00 AM,590.26
csn501,network.interface.packets.in,12-Mar-2016 11:00:00 AM,592.28
csn501,network.interface.packets.in,12-Mar-2016 12:00:00 PM,555.62
csn501,network.interface.packets.in,12-Mar-2016 01:00:00 PM,570.61
csn501,network.interface.packets.in,12-Mar-2016 02:00:00 PM,603.81
csn501,network.interface.packets.in,12-Mar-2016 03:00:00 PM,599.01
csn501,network.interface.packets.in,12-Mar-2016 04:00:00 PM,561.99
csn501,network.interface.packets.in,12-Mar-2016 05:00:00 PM,544.61
csn501,network.interface.packets.in,12-Mar-2016 06:00:00 PM,621.34
csn501,network.interface.packets.in,12-Mar-2016 07:00:00 PM,549.14
csn501,network.interface.packets.in,12-Mar-2016 08:00:00 PM,578.46
csn501,network.interface.packets.in,12-Mar-2016 09:00:00 PM,547.16
csn501,network.interface.packets.in,12-Mar-2016 10:00:00 PM,566.84
csn501,network.interface.packets.in,12-Mar-2016 11:00:00 PM,567.71
csn501,network.interface.packets.in,13-Mar-2016 12:00:00 AM,559.99
csn501,network.interface.packets.in,13-Mar-2016 01:00:00 AM,569.63
csn501,network.interface.packets.in,13-Mar-2016 03:00:00 AM,614.26
csn501,network.interface.packets.in,13-Mar-2016 04:00:00 AM,565.4
csn501,network.interface.packets.in,13-Mar-2016 05:00:00 AM,559.25
csn501,network.interface.packets.in,13-Mar-2016 06:00:00 AM,548.51
csn501,network.interface.packets.in,13-Mar-2016 07:00:00 AM,682.87
csn501,network.interface.packets.in,13-Mar-2016 08:00:00 AM,680.33
csn501,network.interface.packets.in,13-Mar-2016 09:00:00 AM,578.81
csn501,network.interface.packets.in,13-Mar-2016 10:00:00 AM,548.28
csn501,network.interface.packets.in,13-Mar-2016 11:00:00 AM,539.48
csn501,network.interface.packets.in,13-Mar-2016 12:00:00 PM,551.79
csn501,network.interface.packets.in,13-Mar-2016 01:00:00 PM,548.82
csn501,network.interface.packets.in,13-Mar-2016 02:00:00 PM,557.37
csn501,network.interface.packets.in,13-Mar-2016 03:00:00 PM,604.93
csn501,network.interface.packets.in,13-Mar-2016 04:00:00 PM,568.71
csn501,network.interface.packets.in,13-Mar-2016 05:00:00 PM,548.7
csn501,network.interface.packets.in,13-Mar-2016 06:00:00 PM,635.77
csn501,network.interface.packets.in,13-Mar-2016 07:00:00 PM,555.31
csn501,network.interface.packets.in,13-Mar-2016 08:00:00 PM,551.62
csn501,network.interface.packets.in,13-Mar-2016 09:00:00 PM,594.32
csn501,network.interface.packets.in,13-Mar-2016 10:00:00 PM,573.88
csn501,network.interface.packets.in,13-Mar-2016 11:00:00 PM,633.44
csn501,network.interface.packets.in,14-Mar-2016 12:00:00 AM,566.08
csn501,network.interface.packets.in,14-Mar-2016 01:00:00 AM,546.08
csn501,network.interface.packets.in,14-Mar-2016 02:00:00 AM,550.65
csn501,network.interface.packets.in,14-Mar-2016 03:00:00 AM,622.53
csn501,network.interface.packets.in,14-Mar-2016 04:00:00 AM,571.64
