Device Name,Instance Name,Updated time (America/Los_Angeles),Utilization (%)
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:41,59.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:42,58.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:43,56.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:44,54.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:45,49.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:46,59.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:47,53.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:48,54.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:49,61.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:50,46.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:51,49.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:52,45.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:53,43.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:54,38.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:55,31
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:56,46
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:57,40.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:58,42.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 17:59,49.5
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:00,41
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:01,60.3
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:02,53.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:03,52.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:04,59
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:05,52.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:06,53.9
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:07,52.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:08,53.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:09,60.6
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:10,53
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:11,47.8
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:12,56.1
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:13,54.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:14,50.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:15,50.7
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:16,60.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:17,60.4
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:18,56.2
pcass01-sjc02-prod,system.cpu.utilization,13-03-2016 18:19,62.1
